post	label	language
"Saímos no Correio da Manhã. Mas só porque as notícias humorísticas sobre o Carrilho já não estavam a bater
#Humor
https://t.co/41rGkEK8OC"	0	portuguese
@Johnnie_666 2a da esquerda pra direita	0	portuguese
Feliz dia das mulheres pra você que se depila e não faz textão no Facebook!	1	portuguese
@carolguzowski sim! falar em trabalho pra essa galera é muita ofensa	0	portuguese
A redução da pena para estupro de vulnerável seria um retrocesso gigante na legislação brasileira. Primeiro... https://t.co/L6LNDyPrGl	0	portuguese
Eu quero que bela e a fera estreie logo pra eu PARAR de ver propaganda desse filme socorro não aguento mais	0	portuguese
Uma #MulherDeVerdade acredita no amor, mas não vira refém dele.	0	portuguese
meu cabelo deve ter pertencido ao cu de alguem na outra encarnação	1	portuguese
@GABRIELPlNHEIRO como faço pra te passar conteudo?	0	portuguese
Não estou acreditando! Cadê os nossos senadores? https://t.co/bvdCYz6EYI	0	portuguese
Aquelas 130 operárias que foram queimadas dentro da fábrica em 1857 são  @homemdeverdade !  mais que muito bundão covarde sem carater.	1	portuguese
esse galo ta tocando o terror no independência... #CaiuNoHortoTaMorto joga o inFeliciano e o Malacheia la dentro quem sabe n morre tb?	0	portuguese
"Pessoal, passem pra essa guerreira --> @itsmabizao que não consegue terminar um debate!
Deu block no opositor! Não _ https://t.co/3PoCSGGE8O"	1	portuguese
RT @jpintocoelho60: Participação do #PNR nas autárquicas vai crescendo. Com programa nacional e diferenças locais, pode dizer-se: todos dif _	0	portuguese
Exemplo: Nizan Ganaes é um Bundão.	0	portuguese
"RT @HugoRebal: Ei @realDonaldTrump, olha só o que o Ministro das Relações Exteriores, @Aloysio_Nunes acha de você.... 
Eu não deixava.... _"	0	portuguese
Bom dia companheiros! Alguém sabe a que horas chega o asteróide? É para  saber se ainda tenho tempo para comprar o livro das quintas-feiras.	0	portuguese
RT @Silvio_MKT: No Brasil, parasitas, traidores e cúmplices d protagonistas d maior esquema de corrupção do país, são chamados p/ imprensa _	1	portuguese
"Não adianta, o progressismo não tem como dar certo.
#AmorESexo https://t.co/qMDipXEPtk"	0	portuguese
Essas três mulheres acusam Donald Trump de denegrir as mulheres... https://t.co/Miv64JkOZA	0	portuguese
"Foda-se
Esqueci-me que todas as feministas são fufas https://t.co/SLGGngREku"	1	portuguese
Mulher = carne de churrasco. Vc esquenta no pau	1	portuguese
RT @omalestafeito: com a carrada de dinheiro q voou daqui,e como a Cristas diz q Portugal deve muito a Núncio,o mínimo é dar o nome do home _	0	portuguese
RT @pffilipini: sapatão ô raça	1	portuguese
@ajulysantos que nada, aqui na quebrada a molecada é arisca hahahahaha	0	portuguese
Mentira, mesmo sendo sapatao ja estou preocupada, porque vai que eu engravidei pelo vaso sanitario	1	portuguese
RT @barata2001: @bento__9 @aloaloads isso e racismo pos anoes pretos fufas gays e shemales simao	1	portuguese
#atoron RT @marcoluque Se bem que podemos mesclar..uma bela espanhola numa linda holandesa...rsrsrs!	0	portuguese
"Vontade de comer chocolate!!!
Mas está tudo fechado hoje em Campinas..."	0	portuguese
RT @Ilisp_org: 30 fatos que mostram como a esquerda é incoerente e hipócrita https://t.co/CWCBGvMKPKhttps://t.co/FR51u7oeob	0	portuguese
Estou lendo que o preço do grande MURO na fronteira custará mais do que o governo esperava inicialmente, mas eu ain _ https://t.co/EZwOmnq7UM	0	portuguese
"Ele ataca imigração ILEGAL, seus idiotas!
E qual o motivo das aspas no mérito? É ótima ideia! Vcs contratam funcio _ https://t.co/BL9xpbx1Hn"	1	portuguese
"Tadinho do Goby rsrsrs
 (@ryan_reminho live on http://twitcam.com/11hdu))"	0	portuguese
RT @cusBahia: Dossiê: Sapatão é revolução! Existências e resistências das lesbianidades nas encruzilhadas subalternas. Até 26/03 https://t. _	1	portuguese
. @trouxanizer @HeitorHB e do outro uma imbecil útil usando fc de diva pop achando que ta destruindo o mundo com seus pensamentos perdidos.	1	portuguese
Estas poeiras vindas do norte de África entram impunemente em Portugal e sujam os carros todos. Para quando a construção de um muro?	1	portuguese
RT @CapitalismoOP: #MamãeEuQuero ter o direto a vida, então por favor não aborte.	0	portuguese
descobri q sou sapatao mesmo	0	portuguese
"RT @erickdau: Como eu disse, eu vi. 
@PMERJ atirando com bala de verdade em manifestação. https://t.co/hH36zaxDtK"	0	portuguese
"RT @jpintocoelho60: Quem vai ganhar com esta negociata? Quanto paga o contribuinte a mais?
Já agora... quem votou em @FMedina_PCML para Pre _"	0	portuguese
"E agora, o @sosracismo não diz nada?
Basta! Urge um apoio às políticas defendidas pelo PNR para que isto acabe.
https://t.co/Ho18zPv2f4"	0	portuguese
Enquanto isso no senado.... https://t.co/l2SZVJ7le2	0	portuguese
