post	label	language
rt @user fort interessant que ce soit gauchiste que de faire payer les pollueurs pour la pollution que leurs industries produisent	0	french
je suis un attardé mental je viens de réaliser que la toussaint s'appelait comme ça pcq c'est une célébration de tous les saints	0	french
t’piétine ta mère pour un « sale noir sale arabe »	1	french
plus de terrasse plus de lumière...réfugiés dans le caveau dans un état de désarroi certain nous gardons malgré t… @url	0	french
@user @user non ! n'en veut pas de ces migrants économiques ! trop c'est trop . il est plus urgent d… @url	0	french
@user @user @user @user si vous êtes cohérent avec vous même cela signifie que vous êtes contre l'avortement .	0	french
les #migrants traversent la mer et trouvent les aides sociales	0	french
@user mais soma gros mongol cinnamon c’est quoi?	0	french
@user @user l'homme est faible physiquement par rapport l'elephant mais infiniment plus intelligent.	0	french
@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el… @url	0	french
pfff c'est dingue le nombre de meuf blanche qui se font fourrer par des renois qui font du foot. vazi c'est quoi vo… @url	0	french
chez bcp trop d'arabes aussi et ils sont tellement occasionnellement ds mes cercles que la questi…	0	french
@user contre l’avortement c’est pire que contre la transexualité je trouve	1	french
@user les rebeus soins comme nous	0	french
asmar mraconte une histoire mparl comme une attarde e c tro ******	0	french
elle fait le point.nregarde ou elle en estns'attarde sur les virgulesnouvre des parenthesesnle trema de naeve se ch @url	0	french
@user @user oui il n ya pas de grd remplacement ni de racisme anti blanc ! c tjr arabe noir jeune en s… @url	0	french
@user non je ne pense pas. Ça se voit dans beaucoup d'équipes. même lui ne s'est pas attardé sur la cél… @url	0	french
@user @user etre au sommet de la chaine alimentaire = torturer des animaux pour mon plaisir ?	0	french
@user @user @user j'ai vu flou	0	french
@user j’ai été sur place chez mon opérateur ils m’ont y’a rien à faire à part porter plainte pr harcèlement ou changer de numéro	0	french
@user l'endoctrinement gauchiste fonctionne plein pot sur des cliches leur pille leurs richesses le... @url	0	french
tout est noir quand mes negro refusent de rentrer dormir #ceweekendilsvonttropabuser	1	french
ton style de gars? — encr ? les renois et métisses @url	0	french
@user @user et non il n’y pas plus de crimes commis par des migrants que des français blancs. seulement moins… @url	0	french
Ça l’air sympa de pas être une sale arabe @url	0	french
@user il va emmener quelques migrants avec lui ?	0	french
que tu sois pour ou contre l’avortement c’est le droit de chacun mais ne doit pas mêler ses convictions personne… @url	0	french
les renois sa mère ils payent jamais les taxis	1	french
@user mêler islam et violence de manière systémique voilà le but... qu ils utilisent le terme terrorisme... c… @url	0	french
s'imaginer que l'#africain vient en #europe n'est qu'un pur fantasme étant donné que 90% des #migrants africains re… @url	1	french
si la tuerie #complotiste et #antisémite de #pittsburgh frappe aujourd'hui les #usa n'oublions pas que cette idéol… @url	1	french
l'afrique est sous-développé	0	french
ptdrrrr le sale arabe @url	0	french
@user @user @user @user je suis une gauchiste libertaire et catholique pas tres orthodox... @url	0	french
@user @user @user @user oui et alors ou est le probleme j'ai cite l'inde pa... @url	0	french
@user seul les vrais hommes passe au dessus du fan service et s'attarde plutôt sur l'oeuvre et le message… @url	0	french
non ce message n'a rien de subliminale ..... il est dans la continuité du terrorisme intellectuel il faut le métis… @url	0	french
lutter contre les violences faites aux femmes en en facilitant l’essor ...… @url	0	french
@user bah s'ils disent qu'ils ne sont pas français ce sont donc des migrants ? il faut donc les expulser !	1	french
mdr cest les renois ça. toute les cérémonie avant le mariage se passe la maison @url	0	french
@user jpense il s’y est pas attardé bc ça aurait pas intéressé grand monde (jcoco très peu de gens qui se pose… @url	0	french
etes-vous d’accord avec bernard kouchner qui dit que « nous devrions prendre plus de migrants » @url	0	french
