post	label	language
@DalasReview artık normalin altında olmamı engellemiyor mu?	1	tr
"""Haberlerde göçmenlerin 'kurtarıldığını' duymak çok yorucu. Deniz Kurtarma botları kurtarma yapmadığında, göçmen botunun bulunduğu yerin koordinatlarını önceden alıyorlar, çoğu durumda Fas sularında."""	0	tr
@mili_Brujita Lanet anne, ülke için ne büyük bir rezalet, kanıtlanmış bir katil ülkenin ilk üniversitesinde öğretmenliği affetti, M turpları ne diyor ahira caraji	0	tr
@raticorns @La_Malina kapa çeneni kaltak. Teşekkürler	1	tr
@huerguita5 @EnLuchaMujeres @Relatofeminista Ne film çekiyorsun, önce kendi kafana bak, sonra başkaları için endişelen. İstismar ve sömürmek istediğini yapmanın ve özgür olmanın bir parçası değil. Bira! Fırçalamak için!	0	tr
Oyunun ilk nedeni, normal olmayan Zidane'ın şişman Benzema yerine Belediye Başkanlığı'na başlaması gerektiği. Borjita'dan GOOOOOL!	1	tr
Bir zamanlar bir anime avatarım vardı ve normalin altında değilim ve animeyi de sevmiyorum, biraz normalin altında, evet.	0	tr
@MasterofCR @Exodial0 @GuidoNJ99 Kırgın bir şekilde çeneni kapa ve bir dahaki sefere vazelin ara çünkü biz çocuk istemiyoruz	0	tr
Ben de, İĞRENÇ MANİPÜLATİF KÖTÜYÜ ALIN, İĞRENÇ OLDUĞU İÇİN ÖLMEYİ HAK ETTİ diyecektim ama sonra onun Allison'ın annesi olduğunu ve Allison ile Scott arasında başının belaya gireceğini hatırladım.	1	tr
@MemeBurgos sen kaltaksın https://t.co/FSN6n9BTBH	1	tr
Bu Araplar şarkılarının YouTube'da reklamını yapmak için çok çaba harcıyorlar.	0	tr
Kızartma tavasıyla yüzünüze vurun > Friends'i izleyin. https://t.co/HGNU2v8g7C	0	tr
@Alexzee616 @AnthonyDashESP Tanrım, 2012'den beri hala normalin altında. Ve evet ben de onlardan biriyim ama birçok şeyi değiştirdim.	1	tr
Öte yandan, Donanmanın resmi kısmı... Mesleği ve muazzam vatanseverliği olan 44 kişi eksik... Tamamen saçmalık!	0	tr
İki adayın da homofobik olduğunu, yani kim ayrılırsa ayrılsın mutlu olacağım 😏 #OTDirecto6D	0	tr
Uzaktan böyle liberal bir dünyada öne çıkmak için viral bir tweet atıp egosunu yükseltmek istiyormuş gibi görünüyorsa neden bu Moğol'dan bahsettiğimi gerçekten bilmiyorum.	0	tr
YİNE WIFI'A BAĞLANMADAN NE OLUR BEN SUBNORMAL OLDUM??????	0	tr
"""Vatanseverlik, kendi halkına duyulan sevginin önce gelmesidir; milliyetçilik ise başkalarına karşı nefretin önce gelmesidir."" https://t.co/LfLyhZKNvT"	0	tr
@LeticiaDolera @policia @zoidoJI Yani evinde ailesinden önce koyduğu “düzen”. Korkak orospu çocuğu!!!!	0	tr
Lanet anne sen güzel olan her şeyi hak ediyorsun @flor_vigna, HER YIL EN İYİ OLDUĞUNU GÖSTERİYORSUN 💛💛💛💛 #Showmatch2017 FLOR DANSINI 13013'E GÖNDER	0	tr
"Bir futbol taraftarı rastgele insanlara ""AZ ÖNCE FUTBOLDAKİ EN BÜYÜK SOYGUNLARI GÖRDÜM"" diye bağırıyor. O zaman video oyunlarını seviyorsun ve sana normal dışı diyorlar."	0	tr
Yakınlarda harika bir bar-restoran keşfettim. Birkaç bira içmek için nereye gitmemem gerektiğini zaten biliyorum	0	tr
@MonDiari @Albiol_XG sen pisliksin ve pisliksin.	0	tr
@adrian_torron, beni tiksindiriyorsun, yarı Moor'sun.	1	tr
