post	label	language
rt @user molto interessante che sia di sinistra far pagare agli inquinatori l'inquinamento prodotto dalle loro industrie	0	it
Sono un ritardato mentale, mi sono appena reso conto che il giorno di Ognissanti si chiama così perché è una celebrazione di tutti i santi	0	it
calpesti tua madre perché è una “sporca araba nera”	1	it
niente più terrazzo più luce...profughi in cantina in uno stato di certo disordine manteniamo nonostante il… @url	0	it
@utente @utente no! non voglio questi migranti economici! Quando è troppo è troppo . è più urgente… @url	0	it
@user @user @user @user se sei coerente con te stesso vuol dire che sei contrario all'aborto.	0	it
I #migranti attraversano il mare e trovano assistenza sociale	0	it
@user ma soma big cannella mongola che cos'è?	0	it
@user @user l'uomo è fisicamente debole rispetto all'elefante ma infinitamente più intelligente.	0	it
@user @user @user e tu sei contro la PMA per tutti e contro l'aborto. el… @url	0	it
pfff è pazzesco il numero di ragazze bianche che si fanno scopare da Renois che gioca a calcio. vazi cosa sei… @url	0	it
ci sono anche molti arabi e sono così occasionalmente nelle mie cerchie che la domanda...	0	it
@user contro l'aborto è peggio che contro la transessualità, credo	1	it
@usa la cura di Rebeus come noi	0	it
Asmar mi racconta una storia mparl come un ritardato e c tro ******	0	it
fa il punto. guarda dove si trova e si sofferma sul trema se ch di commasnopens parentesesnnaeve @url	0	it
@user @user sì, non esiste un grande sostituto o razzismo anti-bianco! c tjr arabo nero giovane in s… @url	0	it
@utente no, non credo. Lo vedi in molte squadre. anche lui non si è soffermato sul cel… @url	0	it
@user @user è in cima alla catena alimentare = torturare animali per il mio piacere?	0	it
@user @user @user Ho visto sfocato	0	it
@user sono andato dal mio operatore, mi hanno detto che non potevo fare altro che sporgere denuncia per molestie o cambiare numero	0	it
@user l'indottrinamento di sinistra lavora a pieno ritmo sui luoghi comuni, saccheggia le loro ricchezze su... @url	0	it
tutto è nero quando i miei negri si rifiutano di andare a dormire #ceweekendilsonttropabuser	1	it
il tuo stile da ragazzo? – inchiostro? i Renois e Métis @url	0	it
@user @user e no, non ci sono più crimini commessi dai migranti che dai francesi bianchi. solo meno... @url	0	it
Sembra carino non essere uno sporco arabo @url	0	it
@user porterà con sé alcuni migranti?	0	it
che tu sia a favore o contro l'aborto è un diritto di tutti ma nessuno dovrebbe confondere le proprie convinzioni… @url	0	it
i Renois, sua madre, non pagano mai i taxi	1	it
@utente che mescola Islam e violenza in modo sistemico è l'obiettivo... che usano il termine terrorismo... è... @url	0	it
immaginare che l'#africano venga in #Europa è solo una pura fantasia dato che il 90% dei #migranti africani ritorna… @url	1	it
se la strage #cospirazionista e #antisemita di #pittsburgh colpisce oggi gli #usa non dimentichiamo che questo ideale… @url	1	it
L’Africa è sottosviluppata	0	it
