post	label	language
@DalasReview dannatamente non mi blocca più come subnormale??	1	it
"""È molto faticoso sentire nei notiziari che gli immigrati sono stati ""salvati"". Quando le imbarcazioni del Soccorso Marittimo non soccorrono, raccolgono previa comunicazione delle coordinate dove si trova l'imbarcazione degli immigrati, nella maggior parte dei casi in acque marocchine."""	0	it
@mili_Brujita Fottuta madre, che vergogna per il paese, un assassino accertato graziato all'insegnamento nella prima università del paese, cosa dicono i ravanelli di M ahira caraji	0	it
@raticorns @La_Malina stai zitta, stronza. Grazie	1	it
@huerguita5 @EnLuchaMujeres @Relatofeminista Che film che fai, guardati prima la testa, cazzo, e poi preoccupati di tutti gli altri. Abusare e sfruttare non fanno parte del fare ciò che vuoi e dell’essere liberi. Ale! Strofinare!	0	it
Primo motivo della partita per cui il subnormale Zidane dovrebbe titolare Mayoral al posto del grasso Benzema. BUONISSIMO da Borjita!	1	it
Una volta avevo un avatar anime e non sono subnormale né mi piacciono gli anime, beh, un po' subnormale, sì.	0	it
@MasterofCR @Exodial0 @GuidoNJ99 Stai zitto, risentito, e la prossima volta cerca la vaselina perché non la vogliamo, figliolo	0	it
Stavo per dire, PRENDI LA DISGUSTOSA PUTTANA MANIPOLANTE, MERITAVA DI MORIRE PER LA DISGUSTAZIONE, ma poi mi sono ricordata che è la madre di Allison e che finirà nei guai tra Allison e Scott.	1	it
@MemeBurgos tu sei la stronza https://t.co/FSN6n9BTBH	1	it
Questi arabi si stanno impegnando molto per pubblicizzare le loro canzoni su YouTube.	0	it
Colpisciti in faccia con una padella > guarda Friends. https://t.co/HGNU2v8g7C	0	it
@Alexzee616 @AnthonyDashESP Dio, dal 2012 è ancora altrettanto subnormale. E sì, lo sono anch'io, ma ho cambiato diverse cose, lui no	1	it
D'altronde, parte ufficiale della Marina Militare... mancano 44 persone con una vocazione e un immenso patriottismo.... Pura sciocchezza!	0	it
Che i due candidati sono omofobi quindi chiunque se ne vada, sarò felice 😏 #OTDirecto6D	0	it
Non so davvero perché menziono questo mongolo se da lontano sembra che voglia solo avere un tweet virale e rafforzare il suo ego perché vuole distinguersi in un mondo liberale come questo.	0	it
ANCORA SENZA COLLEGARMI AL WIFI, COSA SUCCEDE SONO SUBNORMALE?????	0	it
"""Il patriottismo è quando l'amore per il proprio popolo viene prima; il nazionalismo è quando l'odio per gli altri viene prima."" https://t.co/LfLyhZKNvT"	0	it
@LeticiaDolera @policia @zoidoJI Ovvero l'“ordine” che mette in casa sua prima che nella sua famiglia. Vigliacco figlio di puttana!!!!	0	it
MADRE DEL CAZZO, TI MERITI TUTTO IL BENE @flor_vigna, OGNI ANNO DIMOSTRA CHE SEI LA MIGLIORE 💛💛💛💛 #Showmatch2017 INVIA FLOR DANCE AL 13013	0	it
"Un tifoso di calcio che urla a persone a caso: ""HO APPENA VISTO LA PIÙ GRANDE RAPINA NEL CALCIO"". Poi ti piacciono i videogiochi e ti chiamano subnormale."	0	it
Ho appena scoperto un bel bar-ristorante nelle vicinanze. So già dove non andare a bere qualche birra	0	it
@MonDiari @Albiol_XG sei feccia e feccia.	0	it
@adrian_torron, mi fai schifo, sei mezzo moro.	1	it
Tre immigrati privi di documenti, narcotici e armi sono stati sequestrati durante una perquisizione domiciliare a Calexico. https://t.co/Sm5nCuFKzq #LaCrónicaBC https://t.co/jOpyzBxhIU	0	it
Il mio lavoro post-dottorato sarà quello di creare un'anatomia dell'autogiudizio umoristico di @emecon_m su Twitter, come nuovo genere letterario.	0	it
La polizia tratta 400 fascicoli al giorno per immigrati privi di documenti ad Algeciras – Radio La Primerísima (Comunicato stampa) (blog) https://t.co/ubaetWIyNl	0	it
@FrankPixelado È per te!! Dopo gli applausi, dopo il 155 la Catalogna continua ad essere indipendentista!! Adesso potete andare a farvi fottere!!	1	it
Scendo per portare a spasso il mio cane e passa un africano e mi si siede davanti a fissarmi, spogliandomi mentalmente perché qui a 40° ho la tuta da mare e lui non deve essere abituato . Ho dovuto alzarmi e andarmene ma non posso denunciare le molestie perché è un immigrato.	1	it
Chiamano Aly per aver sputato nel lavandino e non chiamano Aída e Abad per commenti omofobi. ASCO #VIPDirecto	0	it
@lapurisimayoro @lorenagm7 @Barbijaputa Mi ha bloccato secoli fa. Ha iniziato a dire un sacco di cose stupide su di me nelle conversazioni con altre persone. Usare false voci per screditare. A me sembra un comportamento molto deplorevole e la dice lunga e m	0	it
Ha riso e basta ehehe STAI ZITTO PUTTANA, MI STRESSI	1	it
@GuilleAlbelda @MonederoJC Ancora non conosco un fascista democratico, va contro il suo DNA!	0	it
@IcorDeTalos @Gargotejant Questo è tutto. Lascia lo Stato franchista spagnolo che genera fascisti come te. L'aria fresca è fuori. La Spagna puzza di morti nelle fogne.	1	it
@Elsopazax @ElPutoKanko @Ndemoniado Chi sposta l'argomento fuori luogo, scusami, sei tu, accetta che il tuo genere… https://t.co/qLb4tAVv2e	0	it
@krismisma @vmm7773 No? Franco, che era un dittatore, ha reso gratuite le case, Pablo Escobar ha costruito chiese e case per i poveri prima di dedicarsi all'uccisione dei bambini, perché chi governa da 40 anni non lo fa, sono i proprietari e le banche di quelle case , con i soldi della gente KRIS, stupido	0	it
@MelisaDRuiz Hai già rimosso la svastica nazista? Mostratelo e dite con orgoglio quello che siete. Cosciente.	1	it
@rtve La NATO sostiene i fascisti. Rtve a sostegno dei fascisti. Il PP fascista. Questi sono quelli che danno lezioni di democrazia.	1	it
Non piangerò e dirò che non merito questo perché probabilmente lo faccio PER CAGNA	0	it
Va bene qui che nessuno segue la legge! la mia vita stabile e tranquilla da catalano, al diavolo l'invenzione di alcuni https://t.co/Tv9iNLPCFn	0	it
"Francisco Marhuenda: ""Franco non era fascista"" https://t.co/uxtsGpzXxg via @El_Plural"	0	it
Perché le donne guardano i film porno nella loro interezza? -Perché pensano che alla fine si sposeranno o qualcosa del genere.	1	it
@bevavera @pcbestt Stai zitta, stronza, hdp, figa di tua madre, maledettamente tappata, colpi con opportunisti don stronza, merda gialla, dannazione, qui muoiono, mi sento come se la gente ogni giorno hdp. Beh, ovviamente abbiamo bisogno di un intervento da parte dei topi, cazzo.	1	it
@pitespanol @MakokiLlor @arturelpayaso2 Tutta l'EUROPA è fascista secondo questi SeParasites...	0	it
Vogliono sradicare le molestie solo nei confronti delle donne approvando questo tipo di misure ridicole. Consiglio di Bogotà: quanto sei intelligente. https://t.co/BeudBRO5Dz	0	it
@eduardown5 @Atleti Adoro tutti i commenti che ti hanno picchiato da idiota quale sei. Complimenti, mi hai messo a disagio xd	1	it
Essere un tale figlio di puttana mi stressa tantissimo, ma vediamo, vecchio stronzo, stai zitto, voglio dormire.	0	it
Quelli di #BoycottALosGoya, non me lo perderei, penso che diano il premio per il più bello alle vostre icone, Bertín, Arévalo e Toni Cantó	0	it
In questo paese si sputa e cade su un facha o un parente di Mendez de Vigo (o entrambi, perché sono la stessa cosa).	1	it
Se sono Moromierdas o musulmani, non succede nulla. È un peccato. https://t.co/pT0IxUn6S9	1	it
@JotDownSpain se sei un pirata e ricevi un punto nero, hai sbagliato...	0	it
Sono assolutamente sicuro che tutti i liberali che difendono i 600 selvaggi che l'altro giorno hanno scavalcato la recinzione di Melilla armati di aerosol, radiali, calce viva e feci, sarebbero felici di condividere con loro un edificio o un quartiere.	1	it
@Guerra_Civil_ Ma il figlio della gran puttana è morto nel suo letto: non è venuto nemmeno un rosso!!🇪🇸👈😡👎	1	it
@alegrotix mi sto lasciando, ahah, è davvero subnormale, questo attore è estremamente sopravvalutato.	1	it
"Q Ministro di ""Ciò che manca e ciò che resta"" (Lavoro e Migrazioni), dici che vedi delle tendenze ""razziste e xenofobe"" di Casado e Rivera nel visitare Ceuta, è come se dicessi che Sánchez e Iglesias sono favorevoli a non accogliere immigrati all'interno del recinto di Moncloa o d La Navata https://t.co/VCITOyMvuT"	0	it
Ebbene, il remake di Alf che sembrano essere in preparazione avrebbe molto senso se la famiglia fosse ispanica e senza documenti.	0	it
ascoltare l'#arabo e spostare l'orto, vanno di pari passo 💙	0	it
Sono premi cinematografici o parità di genere? A causa di cose come queste, la gente smette di andare a vedere il cinema spagnolo #GoyasGolfos #BoicotALosGoya https://t.co/c5SrDkj2nY	0	it
@Claudiashein @martibatres @CitlaFoto @craviotocesar @FadlalaAkabani @morenaestatalDF @morena_cdmx Stai zitta, stronza!!	1	it
"""Sei gay, non una donna"", beh cosa ne sai? Sei nella mia mente? AHUEONAO CULIAO. AVERE UN PENE NON TI FA UN UOMO."	0	it
@alvaro_delgado @NegroMontesMX @ManceraMiguelMX 'operativo'??? Questa è molestia, arroganza e violazione dei diritti civili. Quei ragazzi che agiscono come poliziotti sono a favore dei rapimenti.	0	it
Spero che rompano l'arabo nelle battute	0	it
Discorsi anti-Trump, IVA culturale, corruzioni varie, rifugiati, ecc... Che il festival del cinema abbia inizio?????#goya2017	0	it
@JordanElejardes @MIAREsproject @SoreMaker25 Genere* In una società sessista, le donne NON vengono trattate allo stesso modo né vengono difese allo stesso modo. Devi essere ignorante	0	it
-ma Ivar ha ucciso Sigurd e Björn vuole onorare Rag- -MA CHIUDI QUELLA CAZZO NON SAI DIRE NIENTE https://t.co/i0OUFlx0M1	0	it
COMMISSARIO VINCES. DISTRETTO: VINCES Commissario e polizia del cantone di Vinces, in un'operazione di controllo della criminalità, vietato l'ingresso di minori e immigrati privi di documenti negli stabilimenti regolamentati dalla MDI (categoria 1) siipne mobile. Immagini allegate. https://t.co/3AeYq37lCB	0	it
Noah ha detto ad Audrey che ha una cotta per lei e Audrey gli ha detto che è una fottuta lesbica e ora l'assassino è con loro e con Emma, ​​​​guarda, sto morendo????	0	it
@esauistaNo1 Mamon! .... Divertitevi e non ordinate l'insalata nel caso pensino che state scherzando.... ahahahahahah	0	it
Mecagontodo 2 ragazzi della classe passano e si lamentano del loro voto da 35 minuti, amico, sei passato, stai zitto 😂	0	it
@ToteKingOficial @La_Insurgencia La democrazia spagnola e la libera interpretazione delle sue leggi nelle mani dei fascisti. 6D, niente da festeggiare.	1	it
Non ci sono abbastanza medici spagnoli qui in Spagna, devono venire qui a lavorare, dannazione...	1	it
A Scopri! Dossier sulla violenza fascista - https://t.co/3014VYbd3Q https://t.co/mAyDCXq4k7	0	it
Con la legge elettorale franchista, facha, del regime spagnolo 78 si vince in seggi non in voti. Curioso, vero? #ElezioniCataluna	0	it
@ximeenavega Puttana sempre oe' Non dimenticare quello che hai sempre voluto insegnarmi e per scherzo non imparo ahah	1	it
@Berlustinho Signor, vai all'Eurovision.	0	it
Sei quel buco nero da penetrare, bellissima.	0	it
Quasi una dannata ora ad aspettare quell'idiota di @antonio_zape. Ti ucciderò. PS: Prego per lo spoiler, te lo meriti.	0	it
Molto presto tutti i neri estinti si prendono il culo in questo modo, i fottuti neri non vengono nel nostro paese - amsSs... https://t.co/SJDxqmrApl	1	it
-E perché hai scavalcato il recinto di Melilla? -Bene, abbiamo sentito che era una fogna per gli indesiderabili ed eccoci qui... https://t.co/k1vTgFeBxH	1	it
Molti arabi/turchi/israeliani vogliono seguirmi su IG, penso di sembrare un terrorista e non me ne sono reso conto	1	it
Dici che sono i tuoi colleghi a farti vivere una brutta vita, ma che tu sei la pecora nera e che ti metti nei guai da solo.	0	it
No, figli miei. Non è che abbiano accettato l'omosessualità. Il fatto è che erano così sessisti che scopavano le donne solo per procreare.	0	it
@publico_es Il blocco indipendentista supera quello dei 155 e mantiene la maggioranza assoluta; C è la prima forza https://t.co/9OGOfba8Yl	0	it
"In altre parole, era quello che gli autori del libro chiamerebbero volentieri ""una puttana da festa"", se ricorressero a... https://t.co/3Za2lqLNUS"	0	it
@Correa4Pablo @AGarridoD098 La cosa positiva è subnormale.	1	it
Facha mokillo nae ahahahah	0	it
Quanto è egoista e esibizionista Deulofeu! Ecco perché sei dove sei e non riesci su una barca! Apri gli occhi mamone!	1	it
Quando pensavi che Jordi Wild non potesse essere più subnormale: https://t.co/5J3zsCpU3R	1	it
@ChViguria Calmati. Dato che non sono un idiota, non vado a San Fermín.	0	it
@Michael5SOS @DestinyTheGame Stronza, sei carina, meriti tutto, tesoro 💖	0	it
Ho pagato i soldi affinché il subnormale di Pedrerol salisse sul tetto di Balaídos per riparare il tetto.	1	it
Ma nessun irregolare. https://t.co/em2IxNor5i	0	it
La violenza di genere è una cosa MOLTO MOLTO seria. E sì, succede, e sicuramente tutti voi conoscete un caso simile. Ed è un peccato.	0	it
Perché la canzone è bella e tu sei così stronza che la cambi https://t.co/sKeH55PaIq	1	it
L'Ambasciata del Venezuela negli Emirati Arabi Uniti condanna l'attacco terroristico contro il presidente @NicolasMaduro. Il mondo arabo condanna questo atto vile. Il nostro Paese, il nostro popolo, non cederà a un'azione così miserabile @nicmaduroguerra @CancilleriaVE @jaarreaza @catiacandanga https://t.co/5G6zL2BZBg	0	it
@FVaIors È tanto buono quanto subnormale.	0	it
Avanti, avanti, figlio di puttana, ce l'abbiamo data tutti, sono così felice, non riesco a smettere di votare, ti adoro, fiore, meriti tutto in questa vita #Showmach2017	0	it
Che puzza di culé stanno sentendo i tifosi del Real Madrid...	1	it
@VicenteFoxQue Adesso, parafrasando, stai zitto, maledetto animale, stronzo, vecchio figlio di puttana, trascinato, vecchio peto, bastardo, gorrino, merda, vipera nera, tepocata, e ancora, TUA FOTTUTA MADRE, LA FELCIA STA PER USCIRE DA TU LA PENSIONE,	0	it
@ian_delaCalva @IrantzuVarela @pikaramagazine Ehi, perché non disturbi tua madre, cazzo?	0	it
E io bloccato nel traffico, chiaramente sei tu la stronza in questa relazione. https://t.co/2CaxQqwHqQ	1	it
Questa Domenica delle Palme si tinge di nero, in modo inaspettato e sconcertante, con la morte di #CarmeChacón RIP	0	it
#6Dec Quale di queste parole riassume i “#19YearsOfVictoriaPerfecta” del defunto dittatore Hugo Chávez☠️ e la sua “rivoluzione socialista”? San Nicolás de Bari #SomosLoActual Plan República @HDPY0 @DolarToday @hcapriles @YoSoyJustin_ @LucioQuincioC @GenPenaloza @NituPerez	0	it
