post	label	language
"Siamo partiti a Correio da Manhã. Ma solo perché le notizie umoristiche su Carrilho non erano più popolari
#Umorismo
https://t.co/41rGkEK8OC"	0	it
@Johnnie_666 2° da sinistra a destra	0	it
Buona Festa della Donna a te che ti radi e non scrivi su Facebook!	1	it
@carolguzowski sì! Parlare di lavoro a queste persone è molto offensivo	0	it
Ridurre la pena per lo stupro di una persona vulnerabile rappresenterebbe un enorme passo indietro nella legislazione brasiliana. Primo... https://t.co/L6LNDyPrGl	0	it
Voglio che La Bella e la Bestia venga presentato presto in anteprima così posso SMETTERE di guardare la pubblicità di questo film, aiuto, non ne posso più	0	it
Una #RealWoman crede nell'amore, ma non ne diventa ostaggio.	0	it
i miei capelli devono essere appartenuti al culo di qualcuno in un'altra incarnazione	1	it
@GABRIELPlNHEIRO come posso fornirti contenuti?	0	it
Non posso crederci! Dove sono i nostri senatori? https://t.co/bvdCYz6EYI	0	it
Quei 130 operai che furono bruciati all'interno della fabbrica nel 1857 sono @homemdeverdade! più di un mucchio di stronzi codardi senza carattere.	1	it
Questo gallo sta giocando al terrore in Indipendenza... #CaiuNoHortoTaMorto gioca a Feliciano e Malacheia lì dentro, chissà, forse morirà anche lui?	0	it
"Ragazzi, passatelo a questo guerriero --> @itsmabizao che non riesce a finire un dibattito!
Bloccato l'avversario! No _ https://t.co/3PoCSGGE8O"	1	it
RT @jpintocoelho60: Cresce la partecipazione del #PNR agli enti locali. Con un programma nazionale e differenze locali, si può dire: tutti differiscono _	0	it
Esempio: Nizan Ganaes è uno stronzo.	0	it
"RT @HugoRebal: Ehi @realDonaldTrump, guarda cosa pensa di te il Ministro degli Affari Esteri, @Aloysio_Nunes....
Non lo permetterei.... _"	0	it
Buongiorno compagni! Qualcuno sa a che ora arriva l'asteroide? Voglio sapere se ho ancora tempo per comprare il libro del giovedì.	0	it
RT @Silvio_MKT: In Brasile, parassiti, traditori e complici dei protagonisti del più grande piano di corruzione del Paese vengono chiamati alla stampa _	1	it
