post	label	language
لا شك ان الطلاق صعب على جميع الاطراف ولكن لو كان طلاق بوعي وبدون اي مشاكل الاطفال ماراح يتضررو…	0	arab
سيحاكم هو وليد جنبلاط قريبا على رءيس الجمهورية بلتحرك السريع لانه قاتل ابوا دياب بلتامر مع وليد جنبلاط هذا هو الملف 	0	arab
انت صوت الحق 	0	arab
إن حكت .. خيّم الصمت بشفاه الحريم.	0	arab
كأنّوا صايري بالخمسين وشوي؟ مبين عليكي ، والله العمر غفله	0	arab
الاخبار من سوريا غارات اسرئيلية وانفجارات في اللاذقية واشتباكات مسلحة بين جناحي النظام في حماة وانسحاب أمريكي بذات…	0	arab
@user ونحن المشاهدين ارتأينا أنكم خنازير يا الجزيرة	1	arab
توضيح سياسي معادلة السلام مقابل الامن التي يحاول جبران باسيل تسويقها بعبارة من حق اسرائيل بالامن شرط ان لا تعتدي	0	arab
شو عم تاكل كتير شاورما من عند معلمك 	0	arab
التفاتة جميلة منك استاذة ديمة	0	arab
الحين في ووركينغ شخصية البطل يحب الكائنات الصغيرة بشكل عام بس اتقبلتها لأنه واضح نظرته مو منحرفة	0	arab
@user @user @user الله يلعنك ويلعن حاكمك .فلسطين ياكلب وقف اسلامي ومش محتاجه خنازير زي شكلك . ارض الحرمي… @url	1	arab
شر البلية ما يضخك في كل يوم تتدحرجين إلى قعر الهزل من السياسة وضبابية الرؤية	0	arab
وبشر الصابرين بالفرج 	0	arab
طرش غنم منعدمة عندون القدرة على التفكير بس اجترار الخطاب الممانعجي المعفن	1	arab
عيب هيدا المستوى من الحديث 	0	arab
لك الله يخليلنا الرئيس؛و يخليلنا المخابرات	0	arab
@user @user @user @user انتم البغال جماعة المنشار ..ياشاربي بول البعير ..الغباء خلاك… @user	1	arab
متفهم تماما ان واحد سويدي او امريكي يبقي عنصري ضد الافارقة ذوي البشرة السمرا _وان كانت اختفت عندهم_ لكن لما تبقي مص… @url	0	arab
ذكرني من شهرين مع من كنت و من كنت عم تتهم خليك رجال و اثبت على موقف 	0	arab
@user مافي فرق بينكم كلكم خنازير	1	arab
كرمت منظمة النيباد الدكتورة ياسمين فؤاد وزيرة البيئة تكريما افريقيا رفيع المستوي وذلك في إطار فعاليات مؤتمر وزراء ا… @url	0	arab
يرحمها ويصبر اهلها	0	arab
انت يافارس يا واطي يا رافضي يا مجوسي العرب والبدوو الشرف منك يا عديم الشرف	1	arab
ماذا عن الفرن المخالف للقوانين عمار بلا رخصة على الأملاك العامة في خلدة والذي يملكه عباس إبراهيم؟ الي… 	0	arab
لا تعلق على الشعب الخرى بطريقة الشعب الخرى	1	arab
جبران باسيل اذكى وزير  	0	arab
مبروك للفائزين والله شغلة كبيرة 	0	arab
ست رواند…هذا دليل على أن الوزير جبران باسيل لا يُشكل الحكومة…	0	arab
قائدنا لا مثيل له الله يحميه 	0	arab
بيان الأزهر بشأن التحرش الجنسي يظهر الصراع بين التيار الإصلاحي  والقائمين على الأزهر، #البوصلة_مع_إسلام_بحيري… @url	0	arab
كان نفسي حدا يفشللي خلقي ويضرب أبو الغيط بشي صرماية بيروتية 	0	arab
السياسة هي ملجأ الكاتب الفاشل ميشيل عفلق	0	arab
والله يا محامينا العزيز الايام اثبتت انو جبران باسيل بعرقل كل شي بالبلد وما حدا بيقدرلوا …	0	arab
هذا قضاء عادل نمثل أمامه جميعنا بشرف أما القاضي المسيس فمصيره السجن 	0	arab
رؤساء اتحادات الرماية الافارقة في زيارة الي قناة السويس الجديدة @url	0	arab
الطرح الجديد من معالي الوزير جبران باسيل حكومه بكون فيها وزراء من اخوانا السنه وهيك بيعطوا الوزير السابع للقاء التشا…	0	arab
النازحين السوريين بكل وقاحة بيطلعوا يطالبوا الدولة اللبنانية	1	arab
@user كل طاقم الخنزيرة كللللهم خنازير مسيحية ونصيرية اش دراهم عن الحج والصلاة وكورتلموش يكفيه الميثلية في تر… @url	1	arab
انت مين لا تجي تأمر مين انت مين 	0	arab
سندات خزينة مش وديعة يعني دين عليه فوائد ما لح يشيلوا الزير من البير هالنص مليار 	0	arab
لو في دوله تحترم نفسها كنت معاليك بالمنفى او الحبس 	0	arab
اولا فخامة الرئيس العماد ميشال عون وثانيا هدف الأستاذ جبران باسيل هو من أجل لبنان  اذا انت امثالك	0	arab
