post	label	language
"Correio da Manhão'dan ayrıldık. Ama bunun tek sebebi Carrilho hakkındaki mizahi haberlerin artık popüler olmamasıydı
#Mizah
https://t.co/41rGkEK8OC"	0	tr
@Johnnie_666 Soldan sağa 2.	0	tr
Facebook'ta tıraş olup mesaj atmayan kadınların Kadınlar Günü kutlu olsun!	1	tr
@carolguzowski evet! Bu insanlarla iş hakkında konuşmak çok aşağılayıcı	0	tr
Savunmasız bir kişiye tecavüzün cezasının azaltılması, Brezilya yasalarında geriye doğru dev bir adım olacaktır. İlk olarak... https://t.co/L6LNDyPrGl	0	tr
Güzel ve Çirkin'in yakında gösterime girmesini istiyorum böylece bu filmin reklamlarını izlemeyi bırakabilirim, yardım edin, daha fazla dayanamıyorum	0	tr
#GerçekKadın aşka inanır ama onun esiri olmaz.	0	tr
saçlarım başka bir enkarnasyonda birinin kıçına ait olmalı	1	tr
@GABRIELPlNHEIRO size nasıl içerik verebilirim?	0	tr
İnanamıyorum! Senatörlerimiz nerede? https://t.co/bvdCYz6EYI	0	tr
1857 yılında fabrikada yakılan o 130 işçi @homemdeverdade! karakteri olmayan bir sürü korkak pislikten daha fazlası.	1	tr
Bu horoz bağımsızlıkta terör oyunu oynuyor... #CaiuNoHortoTaMorto Feliciano ve Malacheia'da oynuyor orada, kim bilir belki o da ölür?	0	tr
"Arkadaşlar, bunu bu savaşçıya iletin --> tartışmayı bitiremeyen @itsmabizao!
Rakibi engelledi! Hayır _ https://t.co/3PoCSGGE8O"	1	tr
RT @jpintocoelho60: #PNR'nin yerel yönetimlere katılımı artıyor. Ulusal bir program ve yerel farklılıklarla şunu söyleyebiliriz: hepsi farklı _	0	tr
Örnek: Nizan Ganaes bir pisliktir.	0	tr
"RT @HugoRebal: Hey @realDonaldTrump, bakın Dışişleri Bakanı @Aloysio_Nunes sizin hakkınızda ne düşünüyor...
izin vermem.... _"	0	tr
Günaydın yoldaşlar! Asteroitin ne zaman geleceğini bilen var mı? Perşembe kitabını almaya hâlâ vaktim olup olmadığını bilmek istiyorum.	0	tr
RT @Silvio_MKT: Brezilya'da asalaklar, hainler ve ülkenin en büyük yolsuzluk planının baş aktörlerinin suç ortakları basına çağrılıyor _	1	tr
"Hiçbir anlamı yok, ilerlemecilik işe yaramaz.
#AmorESexo https://t.co/qMDipXEPtk"	0	tr
Bu üç kadın Donald Trump'ı kadınları aşağılamakla suçluyor... https://t.co/Miv64JkOZA	0	tr
"Boşver şunu
Tüm feministlerin lezbiyen olduğunu unuttum https://t.co/SLGGngREku"	1	tr
Kadın = mangal eti. Penisin ısınıyor	1	tr
RT @omalestafeito: Buraya gelen bir sürü parayla ve Cristas'ın Portekiz'in Núncio'ya çok şey borçlu olduğunu söylediği gibi, en azından adamın adını vermek _	0	tr
RT @pffilipini: lezbiyen ah yarış	1	tr
@ajulysantos hiçbir şey, burada mahalledeki çocuklar ürkek hahahahaha	0	tr
Bu bir yalan, lezbiyen olmama rağmen zaten endişeleniyorum, neden tuvaletten hamile kaldım?	1	tr
RT @barata2001: @bento__9 @aloaloads bu ırkçılıktır siyah cüceler gay lezbiyenler ve travestiler simao	1	tr
#atoron RT @marcoluque Her ne kadar güzel bir İspanyol kadını güzel bir Hollandalı kadınla karıştırabilsek de...haha!	0	tr
"Çikolata yemek istiyorum!!!
Ama bugün Campinas'ta her şey kapalı..."	0	tr
RT @Ilisp_org: Solun ne kadar tutarsız ve ikiyüzlü olduğunu gösteren 30 gerçek https://t.co/CWCBGvMKPKhttps://t.co/FR51u7oeob	0	tr
Büyük sınır DUVARının fiyatının hükümetin başlangıçta beklediğinden daha pahalıya mal olacağını okuyorum ama yine de _ https://t.co/EZwOmnq7UM	0	tr
"YASADIŞI göçe saldırıyor, sizi aptallar!
Peki esastaki tırnak işaretlerinin nedeni nedir? Bu muhteşem bir fikir! Çalışanları işe alıyor musunuz _ https://t.co/BL9xpbx1Hn"	1	tr
"Tadinho do Goby hahaha
 (@ryan_reminho http://twitcam.com/11hdu'da canlı yayında))"	0	tr
RT @cusBahia: Dosya: Sapatão bir devrimdir! Madunların yol ayrımında lezbiyenliğin varlığı ve direnişi. 26/03'e kadar https://t. _	1	tr
. @trouxanizer @HeitorHB ve diğer yanda bir pop divasının Facebook sayfasını kullanan, kayıp düşünceleriyle dünyayı yok ettiğini düşünen kullanışlı bir aptal.	1	tr
Kuzey Afrika'dan gelen bu toz herhangi bir ceza almadan Portekiz'e giriyor ve arabaları kirletiyor. Duvar inşaatı ne zaman bitecek?	1	tr
RT @CapitalismoOP: #AnneYaşama hakkına sahip olmak istiyorum, o yüzden lütfen kürtaj yapmayın.	0	tr
Gerçekten bir ayakkabı olduğumu keşfettim	0	tr
"RT @erickdau: Dediğim gibi gördüm.
@PMERJ bir gösteride gerçek bir kurşunla ateş ediyor. https://t.co/hH36zaxDtK"	0	tr
"RT @jpintocoelho60: Bu anlaşmadan kim kazanacak? Vergi mükellefi daha ne kadar ödeyecek?
Bu arada... Pre _ için @FMedina_PCML'ye kim oy verdi?"	0	tr
"Ve şimdi @sosracismo hiçbir şey söylemiyor mu?
Yeterli! Bunun son bulması için PNR'ın savunduğu politikaların acilen desteklenmesi gerekiyor.
https://t.co/Ho18zPv2f4"	0	tr
Bu arada Senato'da.... https://t.co/l2SZVJ7le2	0	tr
@gabrisinhas @LeoLimaDuarte ters ırkçılık beyaz mimimidir. tanrı var olan bir kelimedir ama tanrı yoktur dostum	1	tr
