post	label	language
"আমরা Correio da Manhã এ রওনা দিলাম। কিন্তু শুধুমাত্র কারণ ক্যারিলহো সম্পর্কে হাস্যকর খবর আর জনপ্রিয় ছিল না
#মেজাজ
https://t.co/41rGkEK8OC"	0	bn
@Johnnie_666 বাম থেকে ডানে ২য়	0	bn
যারা শেভ করেন এবং ফেসবুকে টেক্সট করেন না তাদের জন্য নারী দিবসের শুভেচ্ছা!	1	bn
@ক্যারোলগুজোস্কি হ্যাঁ! এই লোকদের কাজের কথা বলা খুবই অপমানজনক	0	bn
একজন দুর্বল ব্যক্তির ধর্ষণের শাস্তি কমানো ব্রাজিলের আইনে একটি বিশাল পদক্ষেপ হবে। প্রথমে... https://t.co/L6LNDyPrGl	0	bn
আমি চাই বিউটি অ্যান্ড দ্য বিস্ট শীঘ্রই প্রিমিয়ার হোক যাতে আমি এই ছবির বিজ্ঞাপন দেখা বন্ধ করতে পারি, সাহায্য করুন, আমি এটা আর নিতে পারছি না	0	bn
একজন #Realwoman প্রেমে বিশ্বাস করে, কিন্তু এর কাছে জিম্মি হয় না।	0	bn
আমার চুল অবশ্যই অন্য অবতারে কারও পাছার ছিল	1	bn
@GABRIELPlNHEIRO আমি কীভাবে আপনাকে সামগ্রী দেব?	0	bn
আমি এটা বিশ্বাস করতে পারছি না! আমাদের সিনেটররা কোথায়? https://t.co/bvdCYz6EYI	0	bn
1857 সালে কারখানার ভিতরে যে 130 জন শ্রমিককে পুড়িয়ে ফেলা হয়েছিল তারা হলেন @homemdeverdade! কোন চরিত্রহীন কাপুরুষ গাধা অনেক বেশী.	1	bn
এই মোরগ স্বাধীনতায় সন্ত্রাস খেলছে... #CaiuNoHortoTaMorto সেখানে ফেলিসিয়ানো এবং মালাচেয়া খেলেছে, কে জানে, হয়তো সেও মারা যাবে?	0	bn
"বন্ধুরা, এটি এই যোদ্ধার কাছে দিন --> @itsmabizao যে একটি বিতর্ক শেষ করতে পারে না!
প্রতিপক্ষকে অবরুদ্ধ! না _ https://t.co/3PoCSGGE8O"	1	bn
RT @jpintocoelho60: স্থানীয় কর্তৃপক্ষে #PNR-এর অংশগ্রহণ বাড়ছে। একটি জাতীয় প্রোগ্রাম এবং স্থানীয় পার্থক্যের সাথে, এটি বলা যেতে পারে: সমস্ত আলাদা _	0	bn
উদাহরণ: নিজান গণেস একটি গাধা।	0	bn
"RT @HugoRebal: আরে @realDonaldTrump, দেখুন পররাষ্ট্র মন্ত্রী, @Aloysio_Nunes আপনার সম্পর্কে কী ভাবছেন...
আমি হতে দিতাম না... _"	0	bn
শুভ সকাল সঙ্গীরা! কেউ কি জানেন গ্রহাণুটি কখন আসবে? আমি জানতে চাই বৃহস্পতিবারের বইটি কেনার জন্য আমার এখনও সময় আছে কিনা।	0	bn
RT @Silvio_MKT: ব্রাজিলে, পরজীবী, বিশ্বাসঘাতক এবং দেশের সবচেয়ে বড় দুর্নীতির পরিকল্পনার নায়কদের সহযোগীদের প্রেসে ডাকা হয় _	1	bn
"কোন লাভ নেই, প্রগতিবাদ কাজ করতে পারে না।
#AmoreSexo https://t.co/qMDipXEPtk"	0	bn
এই তিন নারী ডোনাল্ড ট্রাম্পকে অভিযুক্ত করেছেন নারীদের হেয় প্রতিপন্ন করার... https://t.co/Miv64JkOZA	0	bn
"এই স্ক্রু
আমি ভুলে গেছি সব নারীবাদীরা ডাইক https://t.co/SLGGngREku৷"	1	bn
নারী = বারবিকিউ মাংস। আপনি শিশ্ন উপর গরম আপ	1	bn
RT @omalestafeito: অর্থের বোঝা নিয়ে এখানে উড়ে গেছে, এবং ক্রিস্টাস যেমন বলেছেন যে পর্তুগাল নুনসিওর কাছে অনেক ঋণী, সবচেয়ে কম হল লোকটির নাম দেওয়া _	0	bn
RT @pffilipini: ডাইক ওহ রেস	1	bn
@ajulysantos কিছুই না, এখানে আশেপাশে বাচ্চারা হাহাহাহাহা	0	bn
এটি একটি মিথ্যা, যদিও আমি একটি ডাইক আমি ইতিমধ্যে চিন্তিত, কেন আমি টয়লেটের মাধ্যমে গর্ভবতী হয়েছিলাম?	1	bn
RT @barata2001: @bento__9 @aloaloads এটা বর্ণবাদের পোস্ট কালো বামন গে ডাইকস এবং শেমেলস সিমাও	1	bn
#atoron RT @marcoluque যদিও আমরা মিশতে পারি...একজন সুন্দরী স্প্যানিশ মহিলার সাথে একজন সুন্দরী ডাচ মহিলা...হাহা!	0	bn
"আমি চকলেট খেতে চাই!!!
কিন্তু ক্যাম্পিনাসে আজ সবকিছু বন্ধ..."	0	bn
RT @Ilisp_org: 30টি তথ্য যা দেখায় যে বামরা কতটা বেমানান এবং ভণ্ডামি https://t.co/CWCBGvMKPKhttps://t.co/FR51u7oeob	0	bn
আমি পড়ছি যে বড় বর্ডার ওয়ালের দাম সরকার প্রাথমিকভাবে প্রত্যাশিত চেয়ে বেশি খরচ করবে, কিন্তু আমি এখনও _ https://t.co/EZwOmnq7UM	0	bn
