post	label	language
@DalasReview coño bloqueame ya no subnormal??	1	spanish
"""Cansa mucho escuchar en los informativos de que se han """" rescatado"""" a inmigrantes. Cuando los barcos de Salvamento Marítimo no rescatan, recogen previa comunicación de las coordenadas donde se ubica la embarcación de inmigrantes,en la mayoría de los casos en aguas marroquíes."""	0	spanish
@mili_Brujita Puta madre que desgracia del paiz un terruco probado asesino indultado enseñando en la primera univers del paiz que dicen ahira caraji los rabanos de M	0	spanish
@raticorns @La_Malina callate puta. gracias	1	spanish
@huerguita5 @EnLuchaMujeres @Relatofeminista Vaya pelis te montas, mírate la puta cabeza primero y preocúpate de los demás después. Abusar y explotar no entran dentro de hacer lo q quiera y ser libre. Ale! A fregar!	0	spanish
Primera razón del partido por la cual el subnormal de Zidane debería poner a Mayoral de titular en vez de al gordo de Benzema. GOOOOOOOL de Borjita!	1	spanish
Yo tuve un avatar de anime una vez y eso que no soy subnormal ni me gusta el anime bueno un poco subnormal sí.	0	spanish
@MasterofCR @Exodial0 @GuidoNJ99 Callate la puta boca resentido y la proxima ves busquen vaselina porque no queremos hijo	0	spanish
Iba a decir TOMA LA ZORRA MANIPULADORA ASQUEROSA SE MERECÍA MORIR POR REPUGNANTE pero entonces me he acordado de que es la madre de Allison y de que se va a liar la de la hostia entre Allison y Scott	1	spanish
@MemeBurgos tu eres la perra https://t.co/FSN6n9BTBH	1	spanish
Estos árabes le andan metiendo duro a la publicidad de sus canciones en YouTube.	0	spanish
Pegarte en la cara con un sartén > ver Friends. https://t.co/HGNu2v8g7C	0	spanish
@Alexzee616 @AnthonyDashESP  Dios,desde el 2012 sigue siendo igual de subnormal. Y si,también soy uno.pero eh cambiado varias cosas.El no	1	spanish
Por otro lado Parte oficial de la Armada ... 44 personas con vocaciòn y tremendo patriotismo desaparecidos ....    Cambalache puro !	0	spanish
Que los dos nominados son homófobos así que se vaya el que se vaya, feliz estaré 😏 #OTDirecto6D	0	spanish
Yo en verdad no sé pa qué menciono al mongolo este si se ve desde lejos que sólo quiere tener un tuit viral y aumentar su ego porque quiere hacerse destacar en un mundo liberal como este.	0	spanish
OTRA VEZ SIN CONECTARME AL WIFI QUE PASA QUE SOY SUBNORMAL?????	0	spanish
"""Patriotismo es cuando el amor por tu propio pueblo es lo primero; nacionalismo, cuando el odio por los demás es lo primero."" https://t.co/LfLyhZKNvT"	0	spanish
@LeticiaDolera @policia @zoidoJI A saber el “orden “ que pone en su casa ante su familia. Hijo de puta cobarde!!!!	0	spanish
LA PUTA MADRE TE MERECES TODO LO BUENO @flor_vigna, TODOS LOS AÑOS DEMOSTRAS QUE SOS LA MEJOR 💛💛💛💛 #Showmatch2017 MANDA BAILA FLOR AL 13013	0	spanish
"Un forofo del fútbol gritando a gente random ""ACABO DE VER EL MAYOR ROBO DEL FÚTBOL"". Luego te gustan los videojuegos y te llaman subnormal."	0	spanish
Acabo de descubrir un bar-restaurante facha por aquí cerca. Ya sé dónde no ir a tomarme unas cañas	0	spanish
@MonDiari @Albiol_XG tu eres bazofia y escoria.	0	spanish
@adrian_torron puta basu a me das puto asco encima eres medio moro.	1	spanish
Tres indocumentados, narcóticos y armas fueron asegurados durante un cateo domiciliario en Calexico. https://t.co/Sm5nCuFKzq #LaCrónicaBC https://t.co/jOpyzBxhIU	0	spanish
Mi trabajo postdoctoral será hacer una anatomía del autoenjuiciamiento humorístico de @emecon_m en Twitter, como nuevo género literario.	0	spanish
Policía tramita en Algeciras 400 expedientes al día de inmigrantes indocumentados – Radio La Primerísima (Comunicado de prensa) (blog) https://t.co/ubaetWIyNl	0	spanish
@FrankPixelado Va por ti!! Después de las porras, después del 155 Catalunya continua siendo independentista!! Ya os podéis ir a tomar por el culo!!	1	spanish
Bajo a sacar a mi perra al paseo y pasa un africano y se sienta enfrente de mí a mirarme fijamente desnudandome mentalmente pq aquí a 40° voy con un mono de playa y no debe estar acostumbrado. Me he tenido q levantar e irme pero no puedo denunciar por acoso porque es inmigrante.	1	spanish
Le llaman la atención a Aly por escupir en el fregadero y no le llaman la atención a Aída y Abad por comentarios homofobos. ASCO #VIPDirecto	0	spanish
@lapurisimayoro @lorenagm7 @Barbijaputa Me bloqueó hace siglos. Le dio por decir muchas tonterías sobre mí en conversaciones con otras personas. Usando el rumor falso para desprestigiar. A mí me parece un comportamiento muy lamentable y que dice mucho y m	0	spanish
Se acaba de reir jijiji CALLATE PERRA ME ESTRESAS	1	spanish
@GuilleAlbelda @MonederoJC Aún no conozco un facha demócrata, va contra su adn!	0	spanish
@IcorDeTalos @Gargotejant Eso es. Dejar el Estado franquista español que cría fascistas como tú. El aire fresco está fuera. España huele a muertos en las cunetas.	1	spanish
@Elsopazax @ElPutoKanko @Ndemoniado El que traslada el tema fuera de lugar disculpame eres tu, acepta que tu género… https://t.co/qLb4tAVv2e	0	spanish
@krismisma @vmm7773 No ? Franco q era un dictador hizo viviendas gratis, pablo escobar hizo iglesias y casas para lo pobles antes de dedicarse a matar niños, porque los q gobiernan hace 40 años no lo hacen, es + son ellos los dueño y los bancos de esas casas, con el dinero del pueblo KRIS, tontita	0	spanish
@MelisaDRuiz Te has quitado ya la esvástica escoria nazi? Enseñala y di con orgullo lo que eres. Acomplejada.	1	spanish
@rtve La OTAN apoyando fascistas. Rtve apoyando fascistas. El PP fascista. Estos son los que dan lecciones de democracia.	1	spanish
No voy a llorar y decir que no merezco esto porque es probable que lo merezcaPOR ZORRA	0	spanish
Vale aquí que no cumpla la ley nadie! mi vida estable y tranquila como catalán a la mierda por el invento de algunos https://t.co/Tv9iNLPCFn	0	spanish
"Francisco Marhuenda: ""Franco no era fascista"" https://t.co/uxtsGpzXxg vía @El_Plural"	0	spanish
Porque las mujeres ven las peliculas porno enteras? -Porque se creen que al final se van a casar o algo.	1	spanish
@bevavera @pcbestt Callate puta hdp coño de tu madre maldita enchufada sopla con don perra oportunistas Amarillistas de mierda maldita aquí mueren siento de personas diario hdp. Pues claro Q nesesitamos una intervencion rata de mierda	1	spanish
@pitespanol @MakokiLlor @arturelpayaso2 Toda EUROPA es Fascista según los SeParasitos estos...	0	spanish
Quieren erradicar el acoso solo hacia las mujeres aprobando este tipo de medidas ridículas. Concejo de Bogotá: que inteligente eres. https://t.co/BeudBRO5Dz	0	spanish
@eduardown5 @Atleti Me encantan todos los comentarios que tienes siendo vapuleado como el subnormal que eres. Enhorabuena, has conseguido que me descojone xd	1	spanish
Me re estresa ser tan hija de puta pero a ver viejo de mierda cállate que quiero dormir	0	spanish
Los de #BoicotALosGoya, yo no me lo perdería, creo q les dan el premio a los más fachas a vuestros iconos, Bertín, Arévalo y Toni Cantó	0	spanish
En este pais escupes y cae en un facha o en un familiar del Mendez de Vigo (o en ambos, porque son lo mismo).	1	spanish
Si son moromierdas o musulmonos, no pasa nada. Es una vergüenza. https://t.co/pT0IxUn6S9	1	spanish
@JotDownSpain si eres un pirata y recibes un punto negro,  lo llevas mal...	0	spanish
Estoy segurísimo de que todos los progres que defienden a los 600 salvajes que el otro día saltaron la valla en Melilla armados con aerosoles, radiales, cal viva y heces, estarían encantados de compartir edificio o vecindario con ellos.	1	spanish
@Guerra_Civil_ Pero el hijo de la gran puta murió en su cama : ni un rojo se vengo!!🇪🇸👈😡👎	1	spanish
@alegrotix me parto eh jaja es que vaya subnormal enserio, esta sobrevaloradisimo este actor.	1	spanish
"Q ministra d ""Lo Que Falta y Lo Que Sobra"" (Trabajo y Migraciones),diga q ve n Casado y Rivera tendencias ""racistas y xenófobas"" x visitar Ceuta es como si yo digo q Sánchez e Iglesias lo son x no tener inmigrantes dentro d la valla d Moncloa o d La Navata https://t.co/VCITOyMvuT"	0	spanish
Pues el remake de Alf que parece que están preparando tendría mucho sentido si la familia es hispana y sin papeles.	0	spanish
escuchar #Árabe y mover el orto, van de la mano 💙	0	spanish
¿Son premios al cine o la igualdad de género? Por cosas como ésta la gente pasa de ir a ver cine español #GoyasGolfos #BoicotALosGoya https://t.co/c5SrDkj2nY	0	spanish
